Contract;Rate;Date;kWh ;Consumption code;Average temperature (°C);Temperature code
0311859414;D;2018-12-11;92.31;R;-8;R
0311859414;D;2018-12-10;101.29;R;-8;R
0311859414;D;2018-12-09;85.94;R;-5;R
0311859414;D;2018-12-08;90.44;R;-12;R
0311859414;D;2018-12-07;81.35;R;-9;R
0311859414;D;2018-12-06;84.80;R;-2;R
0311859414;D;2018-12-05;69.13;R;-6;R
0311859414;D;2018-12-04;56.25;R;-5;R
0311859414;D;2018-12-03;45.18;R;1;R
0311859414;D;2018-12-02;52.76;R;2;R
0311859414;D;2018-12-01;65.15;R;0;R
0311859414;D;2018-11-30;67.33;R;0;R
0311859414;D;2018-11-29;61.74;R;1;R
0311859414;D;2018-11-28;64.20;R;1;R
0311859414;D;2018-11-27;56.94;R;0;R
0311859414;D;2018-11-26;60.36;R;2;R
0311859414;D;2018-11-25;72.18;R;1;R
0311859414;D;2018-11-24;65.01;R;-2;R
0311859414;D;2018-11-23;76.83;R;-9;R
0311859414;D;2018-11-22;76.46;R;-13;R
0311859414;D;2018-11-21;67.29;R;-8;R
0311859414;D;2018-11-20;60.78;R;-6;R
0311859414;D;2018-11-19;65.32;R;-1;R
0311859414;D;2018-11-18;75.16;R;-6;R
0311859414;D;2018-11-17;63.65;R;0;R
0311859414;D;2018-11-16;79.57;R;-4;R
0311859414;D;2018-11-15;95.57;R;-7;R
0311859414;D;2018-11-14;63.11;R;-9;R
0311859414;D;2018-11-13;49.84;R;-1;R
0311859414;D;2018-11-12;57.45;R;0;R
0311859414;D;2018-11-11;55.59;R;-2;R
0311859414;D;2018-11-10;52.83;R;2;R
0311859414;D;2018-11-09;51.17;R;1;R
0311859414;D;2018-11-08;48.78;R;6;R
0311859414;D;2018-11-07;48.65;R;9;R
0311859414;D;2018-11-06;49.95;R;9;R
0311859414;D;2018-11-05;57.36;R;4;R
0311859414;D;2018-11-04;50.87;R;4;R
0311859414;D;2018-11-03;50.46;R;4;R
0311859414;D;2018-11-02;46.70;R;4;R
0311859414;D;2018-11-01;48.92;R;6;R
0311859414;D;2018-10-31;51.82;R;3;R
0311859414;D;2018-10-30;49.45;R;3;R
0311859414;D;2018-10-29;54.94;R;4;R
0311859414;D;2018-10-28;62.46;R;2;R
0311859414;D;2018-10-27;51.75;R;1;R
0311859414;D;2018-10-26;53.74;R;1;R
0311859414;D;2018-10-25;42.76;R;1;R
0311859414;D;2018-10-24;40.28;R;4;R
0311859414;D;2018-10-23;35.39;R;4;R
0311859414;D;2018-10-22;39.29;R;3;R
0311859414;D;2018-10-21;42.67;R;3;R
0311859414;D;2018-10-20;26.87;R;10;R
0311859414;D;2018-10-19;37.10;R;11;R
0311859414;D;2018-10-18;41.68;R;2;R
0311859414;D;2018-10-17;42.98;R;7;R
0311859414;D;2018-10-16;39.72;R;6;R
0311859414;D;2018-10-15;39.64;R;9;R
0311859414;D;2018-10-14;38.80;R;8;R
0311859414;D;2018-10-13;39.09;R;6;R
0311859414;D;2018-10-12;38.42;R;9;R
